timestamp,sender,receiver,message_type,message
2026-07-17 12:16:38,Asta,ALL,broadcast,hiii
2026-07-17 12:16:46,Yami,ALL,broadcast,helloo
2026-07-17 12:16:51,Narrow,ALL,broadcast,heyy
2026-07-17 12:16:57,Yuno,ALL,broadcast,yesss
2026-07-17 12:17:33,Narrow,Asta,private,hii cutiee
2026-07-17 12:59:07,Asta,ALL,broadcast,hiii!!!
2026-07-17 12:59:17,Finral,ALL,broadcast,heloo
2026-07-17 12:59:29,Vanessa,ALL,broadcast,hii friends
2026-07-17 13:00:12,Charmy,ALL,broadcast,heloooo
2026-07-17 13:00:23,Yuno,ALL,broadcast,hii squad
2026-07-17 13:00:51,Narrow,ALL,broadcast,how are everonee!!!!!
2026-07-17 13:01:12,Yami,ALL,broadcast,i think everyone is fine!!!
2026-07-17 13:01:25,Yami,ALL,broadcast,i hope sooo!
2026-07-17 13:01:35,Noelle,ALL,broadcast,hmm hmmm
2026-07-17 13:01:46,Luck,ALL,broadcast,yesss bosss
2026-07-17 13:02:04,Magna,ALL,broadcast,i am on fire !!!!
2026-07-17 13:02:14,Charmy,ALL,broadcast,haaa haaaaa
2026-07-17 13:02:46,Charmy,Yuno,private,"hii yuno, what are you doing!"
2026-07-17 13:03:14,Noelle,Asta,private,meet me in the ground.
2026-07-17 13:23:11,Asta,Yuno,private,dfdfdf
2026-07-17 13:23:21,Asta,Narrow,private,lilioi
2026-07-17 13:23:31,Asta,ALL,broadcast,ththghntyjjytjyt
2026-07-17 13:24:47,Luck,ALL,broadcast,hiiiiiiiiii
2026-07-17 13:24:53,Luck,ALL,broadcast,hiiiiiii
